area,bedrooms,bathrooms,age,location,price
2098.0284918067396,4,3,32,Suburb,263360.32
1717.0414192972892,1,3,49,Downtown,293159.07
2188.6131228604154,3,1,37,Uptown,375341.52
2713.817913844815,5,3,26,Rural,257249.67
,3,3,33,Suburb,235872.35
1659.5178258304916,3,2,14,Rural,138317.04
2747.5276893044347,1,1,31,Rural,224690.7
2260.460837491745,1,1,20,Waterfront,421319.93
1518.3153684390288,1,1,45,Waterfront,267384.7
2125.536026151579,2,3,4,Waterfront,439066.49
1521.9493843125226,4,1,5,Suburb,208593.85
1520.562147857846,2,3,37,Rural,112817.39
1945.1773629396205,4,3,21,Downtown,397661.15
652.0318532053213,4,2,17,Uptown,127762.54
765.0493004921802,3,2,13,Waterfront,188507.93
1462.6274824554164,3,2,9,Waterfront,315635.8
1192.3013277993457,4,2,45,Rural,91997.01
1988.5483995571644,4,2,12,Rural,208814.95
1255.1855546872735,2,3,30,Suburb,161123.76
952.6177791988251,2,3,29,Suburb,134539.95
2679.3892613529324,3,1,2,Waterfront,519217.33
1664.5342197080786,1,3,29,Rural,172139.75
1840.5169228127543,4,3,5,Downtown,392359.2
945.1510882719259,2,2,28,Uptown,133087.64
1473.3703652848903,3,3,7,Rural,182985.52
1866.5535538259196,2,2,43,Rural,152775.9
1109.4038535466184,4,1,44,Suburb,184065.01
2025.4188110074033,4,1,42,Uptown,325219.68
1439.6167860487171,5,3,43,Waterfront,310717.27
1624.983750124034,1,1,32,Rural,132928.72
1438.9760326623618,5,3,16,Waterfront,325903.84
2911.366910705363,3,1,47,Rural,289560.77
1791.9016651572397,2,2,10,Waterfront,354396.85
1165.3734426264598,3,2,12,Uptown,206771.57
2293.5269472619134,4,2,49,Suburb,298778.4
1067.4938100173867,5,2,10,Uptown,203114.04
1925.3181570028532,5,3,30,Downtown,407610.26
624.1979256721347,5,1,27,Suburb,87037.54
1003.0883706609417,3,3,43,Uptown,168503.13
1918.116741521474,4,2,5,Downtown,392293.52
2243.079947997246,2,3,40,Rural,199554.0
1902.8209687139822,2,1,15,Rural,178575.19
1730.6110305670556,3,3,3,Waterfront,391207.45
1619.3377826464266,5,1,34,Suburb,240777.56
